Code	Intitul‚	Prix			Code	Intitul‚	Prix			Code	Intitul‚	Prix	
Invisalign Comprehensive ? 4 Semestres		5 800 ?			Smilers Expert Illimit‚ ? 2 arcades ? 4 Semestres		5 000 ?			Lyner Advanced ? 2 arcades ? 2 Semestres		4 700 ?	
TO20	Clincheck Invisalign Comprehensive (2A/4S)	500 ?			TO20	Diagnostic et ‚tude Smilers Expert Illimit‚ (2A/4S)	500 ?			TO20	Diagnostic et ‚tude Lyner Advanced (2A/2S)	250 ?	
TO90	Invisalign Comprehensive ? (2A/4S) ? Semestre 1	1 700 ?			TO90	Smilers Expert Illimit‚ ? (2A/4S) ? Semestre 1	1 000 ?			TO90	Lyner Advanced ? (2A/2S) ? Semestre 1	1 925 ?	
TO90	Invisalign Comprehensive ? (2A/4S) ? Semestre 2	1 000 ?			TO90	Smilers Expert Illimit‚ ? (2A/4S) ? Semestre 2	1 000 ?			TO90	Lyner Advanced ? (2A/2S) ? Semestre 2	1 925 ?	
TO90	Invisalign Comprehensive ? (2A/4S) ? Semestre 3	1 000 ?			TO90	Smilers Expert Illimit‚ ? (2A/4S) ? Semestre 3	1 000 ?			TO 75	Contention  ? Lyner Advanced (2A/2S)	600 ?	
TO90	Invisalign Comprehensive ? (2A/4S) ? Semestre 4	1 000 ?			TO90	Smilers Expert Illimit‚ ? (2A/4S) ? Semestre 4	900 ?			Lyner Moderate ? 2 arcades ? 2 Semestres		3 800 ?	
TO 75	Contention Vivera ? Invisalign Comprehensive (2A/4S)	600 ?			TO 75	Contention  ? Smilers Expert Illimit‚ (2A/4S)	600 ?			TO20	Diagnostic et ‚tude Lyner Moderate (2A/2S)	250 ?	
Invisalign Comprehensive ? 3 Semestres		5 800 ?			Smilers Expert Illimit‚ ? 2 arcades ? 3 Semestres		5 000 ?			TO90	Lyner Moderate ? (2A/2S) ? Semestre 1	1 475 ?	
TO20	Clincheck Invisalign Comprehensive (2A/3S)	500 ?			TO20	Diagnostic et ‚tude Smilers Expert Illimit‚ (2A/3S)	500 ?			TO90	Lyner Moderate ? (2A/2S) ? Semestre 2	1 475 ?	
TO90	Invisalign Comprehensive ? (2A/3S) ? Semestre 1	2 000 ?			TO90	Smilers Expert Illimit‚ ? (2A/3S) ? Semestre 1	1 300 ?			TO 75	Contention  ? Lyner Moderate (2A/2S)	600 ?	
TO90	Invisalign Comprehensive ? (2A/3S) ? Semestre 2	1 700 ?			TO90	Smilers Expert Illimit‚ ? (2A/3S) ? Semestre 2	1 300 ?			Lyner Light ? 2 arcades ? 2 Semestres		2 900 ?	
TO90	Invisalign Comprehensive ? (2A/3S) ? Semestre 3	1 000 ?			TO90	Smilers Expert Illimit‚ ? (2A/3S) ? Semestre 3	1 300 ?			TO20	Diagnostic et ‚tude Lyner Light (2A/2S)	250 ?	
TO 75	Contention Vivera ? Invisalign Comprehensive (2A/3S)	600 ?			TO 75	Contention  ? Smilers Expert Illimit‚ (2A/3S)	600 ?			TO90	Lyner Light ? (2A/2S) ? Semestre 1	2 050 ?	
Invisalign Comprehensive ? 2 Semestres		5 800 ?			Smilers Expert Illimit‚ ? 2 arcades ? 2 Semestres		5 000 ?			TO 75	Contention  ? Lyner Light (2A/2S)	600 ?	
TO20	Clincheck Invisalign Comprehensive (2A/2S)	500 ?			TO20	Diagnostic et ‚tude Smilers Expert Illimit‚ (2A/2S)	500 ?						
TO90	Invisalign Comprehensive ? (2A/2S) ? Semestre 1	2 700 ?			TO90	Smilers Expert Illimit‚ ? (2A/2S) ? Semestre 1	1 950 ?						
TO90	Invisalign Comprehensive ? (2A/2S) ? Semestre 2	2 000 ?			TO90	Smilers Expert Illimit‚ ? (2A/2S) ? Semestre 2	1 950 ?						
TO 75	Contention Vivera ? Invisalign Comprehensive (2A/2S)	600 ?			TO 75	Contention  ? Smilers Expert Illimit‚ (2A/2S)	600 ?						
Invisalign Moderate  - 2 arcades ? 2 Semestres		4 600 ?			Smilers Expert Illimit‚ ? 1 arcade ? 4 Semestres		4 000 ?						
TO20	Clincheck Invisalign Moderate (2S/2A)	500 ?			TO20	Diagnostic et ‚tude Smilers Expert Illimit‚ (1A/4S)	500 ?						
TO90	Invisalign Moderate ? (2S/2A) ? Semestre 1	2 000 ?			TO90	Smilers Expert Illimit‚ ? (1A/4S) ? Semestre 1	725 ?						
TO90	Invisalign Moderate ? (2S/2A) ? Semestre 2	1 500 ?			TO90	Smilers Expert Illimit‚ ? (1A/4S) ? Semestre 2	725 ?						
TO 75	Contention Vivera ? Invisalign Moderate (2S/2A)	600 ?			TO90	Smilers Expert Illimit‚ ? (1A/4S) ? Semestre 3	725 ?						
Invisalign Moderate ? 1 arcade ? 2 Semestres		3 400 ?			TO90	Smilers Expert Illimit‚ ? (1A/4S) ? Semestre 4	725 ?						
TO20	Clincheck Invisalign Moderate (2S/1A)	500 ?			TO 75	Contention  ? Smilers Expert Illimit‚ (1A/4S)	600 ?						
TO90	Invisalign Moderate ? (2S/1A) ? Semestre 1	1 300 ?			Smilers Expert Illimit‚ ? 1 arcade ? 3 Semestres		4 000 ?						
TO90	Invisalign Moderate ? (2S/1A) ? Semestre 2	1 000 ?			TO20	Diagnostic et ‚tude Smilers Expert Illimit‚ (1A/3S)	500 ?						
